Transaction Date,Posted Date,Activity Type,Transaction Type,Description,Currency Code,Amount
04/30/2023,05/01/2023,"Interest","Credit","Interest Paid","USD","0.10"
04/27/2023,04/27/2023,"ACH","Credit","ACH Online transfer from CITIZENS BANK NA ******5551","USD","50.00"
04/24/2023,04/24/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.43"
04/22/2023,04/22/2023,"Rewards","Credit","Daily Cash Deposit","USD","1.91"
04/21/2023,04/21/2023,"Rewards","Credit","Daily Cash Deposit","USD","3.93"
04/19/2023,04/19/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.43"
04/18/2023,04/18/2023,"ACH","Credit","ACH Online transfer from CITIZENS BANK NA ******5551","USD","50.00"
